City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,4.02,48,0,5.66,IS,1728132093
1,bethel,41.3712,-73.414,16.48,84,0,0.89,US,1728132094
2,port-aux-francais,-49.35,70.2167,1.3,93,100,4.63,TF,1728132095
3,ghadamis,30.1337,9.5007,32.65,21,97,4.3,LY,1728132097
4,hadibu,12.65,54.0333,28.27,74,52,3.14,YE,1728132098
5,togur,58.3631,82.8265,7.76,76,100,2.04,RU,1728132099
6,sitangkai,4.6628,119.3928,28.81,71,0,2.34,PH,1728132100
7,saipan,15.1355,145.701,27.39,83,40,4.12,MP,1728132101
8,edinburgh of the seven seas,-37.0676,-12.3116,11.72,88,100,10.15,SH,1728132102
9,stanley,54.868,-1.6985,14.01,74,20,5.14,GB,1728132103
10,daulatpur,26.5015,67.9706,37.04,19,0,4.43,PK,1728132104
11,ushuaia,-54.8,-68.3,5.81,70,40,7.2,AR,1728131823
12,graneros,-34.0667,-70.7333,15.1,63,0,0.0,CL,1728132106
13,wad medani,14.4012,33.5199,38.18,25,7,1.69,SD,1728132107
14,constantia,44.1833,28.65,27.61,65,100,5.9,RO,1728132108
15,pytalovo,57.0679,27.9138,12.14,55,0,1.38,RU,1728132110
16,christchurch,-43.5333,172.6333,8.86,91,50,1.03,NZ,1728132046
17,margate,51.3813,1.3862,16.6,63,0,0.45,GB,1728132112
18,ola,59.5833,151.2833,2.93,71,88,1.26,RU,1728132113
19,howrah,22.5892,88.3103,29.47,72,99,0.63,IN,1728132114
20,grytviken,-54.2811,-36.5092,0.24,82,79,8.1,GS,1728132115
21,codrington,-38.2667,141.9667,12.24,81,100,9.02,AU,1728132116
22,puerto natales,-51.7236,-72.4875,7.25,53,75,9.77,CL,1728132117
23,orange cove,36.6244,-119.3137,20.38,67,40,2.06,US,1728132118
24,puerto baquerizo moreno,-0.9,-89.6,21.15,89,98,4.85,EC,1728132119
25,lerwick,60.1545,-1.1494,11.82,93,100,5.62,GB,1728132120
26,waitangi,-43.9535,-176.5597,11.57,99,87,0.89,NZ,1728132121
27,strezhevoy,60.7333,77.5889,3.22,87,100,2.27,RU,1728132122
28,dakhla,23.6848,-15.958,25.01,69,100,7.2,EH,1728132124
29,obihiro,42.9172,143.2044,11.66,85,52,1.13,JP,1728132125
30,adamstown,-25.066,-130.1015,21.6,90,11,8.18,PN,1728132126
31,dwarka,22.2394,68.9678,28.28,71,58,4.95,IN,1728132127
32,pierre,44.3683,-100.351,19.6,45,0,5.66,US,1728132128
33,tsiombe,-25.3,45.4833,21.99,50,0,6.32,MG,1728132129
34,yuzhno-kurilsk,44.0306,145.8556,11.51,86,0,2.26,RU,1728132130
35,lebu,-37.6167,-73.65,10.83,79,79,3.76,CL,1728132131
36,arraial do cabo,-22.9661,-42.0278,23.92,50,40,4.12,BR,1728132132
37,saint-mandrier-sur-mer,43.078,5.929,20.92,61,0,4.63,FR,1728132133
38,neiafu,-18.65,-173.9833,24.38,73,20,4.12,TO,1728132134
39,iqaluit,63.7506,-68.5145,1.85,87,75,1.54,CA,1728132135
40,hithadhoo,-0.6,73.0833,27.76,77,100,10.21,MV,1728132073
41,albany,42.6001,-73.9662,14.23,80,2,3.1,US,1728131727
42,malvan,16.0667,73.4667,27.73,80,5,4.15,IN,1728132139
43,karabash,55.4808,60.2157,9.69,50,100,1.31,RU,1728132140
44,lihue,21.9789,-159.3672,23.77,89,75,2.06,US,1728132141
45,san francisco de los romo,22.0833,-102.2667,13.81,70,33,3.72,MX,1728132142
46,chernyshevskiy,63.0128,112.4714,-0.24,94,100,3.28,RU,1728132143
47,vorkuta,67.5,64.0,0.15,69,100,6.43,RU,1728132144
48,st. john's,47.5649,-52.7093,12.93,96,100,3.6,CA,1728131929
49,margaret river,-33.95,115.0667,15.27,82,100,3.93,AU,1728132146
50,linfen,36.0889,111.5189,19.59,33,100,4.45,CN,1728131897
51,hermanus,-34.4187,19.2345,20.7,72,19,2.2,ZA,1728132148
52,ad dilam,23.9915,47.1627,36.97,18,0,2.36,SA,1728132035
53,wongsorejo,-7.9908,114.4009,25.37,88,73,5.0,ID,1728132150
54,port elizabeth,-33.918,25.5701,37.16,16,0,4.63,ZA,1728132152
55,areia branca,-4.9561,-37.1369,30.47,52,0,5.85,BR,1728132153
56,talnakh,69.4865,88.3972,-4.41,84,95,2.77,RU,1728132154
57,castillos,-34.1667,-53.8333,18.22,63,16,2.43,UY,1728132155
58,puerto ayora,-0.7393,-90.3518,20.86,97,52,0.89,EC,1728132156
59,shalqar,47.8333,59.6,21.09,22,0,1.36,KZ,1728132157
60,new norfolk,-42.7826,147.0587,8.84,88,100,1.43,AU,1728132158
61,at taj,24.2049,23.2857,34.46,11,0,2.84,LY,1728132159
62,nar'yan-mar,67.6713,53.087,1.21,97,100,5.0,RU,1728132160
63,sinabang,2.4803,96.3801,24.31,94,100,3.17,ID,1728132161
64,itoman,26.1247,127.6694,28.01,83,40,4.12,JP,1728132165
65,west island,-12.1568,96.8225,26.99,83,20,4.63,CC,1728132166
66,tolanaro,-25.0319,46.9987,23.04,56,40,5.14,MG,1728132167
67,atherton,53.5237,-2.4935,16.61,67,21,2.68,GB,1728132168
68,blackmans bay,-43.0167,147.3167,10.07,76,100,2.91,AU,1728132169
69,stettler,52.3168,-112.7186,5.78,67,97,8.71,CA,1728132171
70,olonkinbyen,70.9221,-8.7187,-1.13,67,100,3.84,SJ,1728132173
71,enriquillo,17.9,-71.2333,28.52,70,0,1.33,DO,1728132174
72,powell river,49.8496,-124.5361,10.15,85,88,1.59,CA,1728132175
73,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,65,0,1.0,RU,1728132177
74,sao jose da coroa grande,-8.8978,-35.1478,26.97,63,72,4.15,BR,1728132178
75,howard springs,-12.497,131.047,29.95,81,37,2.9,AU,1728132179
76,cabo san lucas,22.8909,-109.9124,25.42,69,0,3.24,MX,1728132180
77,cedeira,43.6797,-8.0209,20.54,1,100,10.17,ES,1728132181
78,wittichenau,51.385,14.244,11.65,77,100,2.58,DE,1728132182
79,mentor-on-the-lake,41.705,-81.3604,14.54,79,0,2.06,US,1728132183
80,turpan,42.9333,89.1667,21.98,24,0,0.89,CN,1728132185
81,tiksi,71.6872,128.8694,-10.05,96,98,2.61,RU,1728131888
82,bairnsdale,-37.8333,147.6167,12.25,95,100,0.8,AU,1728132188
83,el granada,37.5027,-122.4694,23.68,48,20,0.0,US,1728132189
84,utrik,11.2278,169.8474,27.42,79,100,3.97,MH,1728132190
85,ciudad insurgentes,25.2625,-111.7753,19.61,92,0,2.19,MX,1728132191
86,al khaburah,23.9886,57.0984,32.32,57,0,8.22,OM,1728132192
87,san pedro,14.35,121.0167,29.62,81,75,3.13,PH,1728132193
88,aras-asan,8.8908,126.3033,26.17,87,100,0.87,PH,1728132194
89,ulsan,35.5372,129.3167,17.13,81,73,2.22,KR,1728132195
90,ilulissat,69.2167,-51.1,2.01,75,0,1.03,GL,1728132196
91,thunder bay,48.4001,-89.3168,-1.01,93,20,0.51,CA,1728132162
92,karaj,35.8355,51.0103,21.88,31,20,4.12,IR,1728132198
93,bengkulu,-3.8004,102.2655,25.37,89,100,1.55,ID,1728132199
94,alesund,62.4723,6.1549,9.08,87,75,6.17,NO,1728132201
95,yellowknife,62.456,-114.3525,-0.4,95,75,1.54,CA,1728132202
96,wewak,-3.5534,143.6268,26.56,84,100,2.66,PG,1728132203
97,carutapera,-1.195,-46.02,30.09,61,8,4.36,BR,1728132204
98,ballina,-28.8667,153.5667,19.39,79,1,4.62,AU,1728132205
99,granby,45.4001,-72.7324,12.8,100,7,0.51,CA,1728132024
100,port mathurin,-19.6833,63.4167,22.78,86,20,10.61,MU,1728132207
101,tadine,-21.55,167.8833,19.36,78,1,4.16,NC,1728132208
102,jagatsinghapur,20.2667,86.1667,27.68,76,99,2.53,IN,1728132209
103,ribeira grande,38.5167,-28.7,24.32,69,40,6.17,PT,1728132210
104,perry,37.2506,-83.1999,17.3,80,0,0.78,US,1728132211
105,nova sintra,14.8667,-24.7167,26.84,75,99,1.7,CV,1728132212
106,primero de mayo,-32.2552,-58.4228,18.23,47,6,4.04,AR,1728132214
107,invercargill,-46.4,168.35,8.9,96,54,2.32,NZ,1728132215
108,novyy urengoy,66.0833,76.6333,-0.33,66,57,2.0,RU,1728132216
109,nemuro,43.3236,145.575,14.4,75,1,4.22,JP,1728132217
110,tazovsky,67.4667,78.7,-0.9,68,57,4.3,RU,1728132218
111,kingston,17.997,-76.7936,28.53,84,20,2.06,JM,1728132108
